,mssubclass,mszoning,lotshape,lotconfig,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,roofstyle,exterior1st,exterior2nd,masvnrtype,masvnrarea,extercond,foundation,bsmtqual,bsmtexposure,bsmtfintype1,totalbsmtsf,heatingqc,1stflrsf,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,totrmsabvgrd,fireplaces,garagetype,garagefinish,garagearea,saletype,saleprice,houseage,renoage,outdoorfeature
55,60,RL,Reg,Corner,Sawyer,Norm,1Fam,2Story,6,7,Gable,HdBoard,HdBoard,Stone,143.0,3,CBlock,3,1,5,663.0,3,663,1352,0.0,1,1,4,7,0,Attchd,3,299.0,WD ,158000,41.25,41.25,1.0
56,160,FV,Reg,Inside,Somerst,Norm,Twnhs,2Story,7,5,Gable,MetalSd,MetalSd,None,0.0,3,PConc,4,1,6,600.0,5,600,1200,1.0,2,1,2,4,0,Detchd,2,480.0,WD ,149500,6.1666666666667425,5.1666666666667425,1.0
57,20,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,5,6,Gable,MetalSd,MetalSd,None,0.0,4,CBlock,3,1,4,936.0,3,936,936,0.0,1,0,2,5,0,Attchd,1,240.0,WD ,121000,52.25,31.25,1.0
58,20,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,6,7,Hip,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,3,1040.0,3,1040,1040,0.0,1,0,3,6,0,Attchd,3,293.0,WD ,136000,54.5,54.5,0.0
59,60,RL,IR2,Corner,Gilbert,Norm,1Fam,2Story,6,5,Gable,HdBoard,HdBoard,None,0.0,3,PConc,4,1,3,916.0,4,916,1636,0.0,2,1,3,7,1,Attchd,3,386.0,WD ,173000,12.916666666666742,12.916666666666742,1.0
60,60,RL,IR1,CulDSac,NoRidge,Norm,1Fam,2Story,8,7,Gable,VinylSd,VinylSd,BrkFace,348.0,3,PConc,4,1,6,1152.0,5,1164,2270,0.0,2,1,4,9,1,Attchd,3,671.0,WD ,290000,11.333333333333258,3.3333333333332575,1.0
61,60,FV,Reg,Inside,Somerst,Norm,1Fam,2Story,8,5,Gable,CemntBd,CmentBd,None,0.0,3,PConc,4,3,6,1184.0,5,1184,2610,0.0,2,1,4,11,1,BuiltIn,3,550.0,New,303477,0.6666666666667425,0.6666666666667425,1.0
62,20,RL,IR1,Inside,ClearCr,Norm,1Fam,1Story,7,7,Hip,Wd Sdng,Wd Sdng,None,0.0,4,CBlock,4,4,5,1420.0,4,1483,1483,1.0,1,1,1,4,2,Attchd,2,690.0,WD ,270000,33.33333333333326,9.333333333333258,1.0
63,50,RM,Reg,Corner,OldTown,Artery,1Fam,1.5Fin,5,5,Gable,WdShing,Wd Shng,None,0.0,2,BrkTil,3,1,3,936.0,4,960,1740,0.0,1,0,2,6,1,Detchd,1,225.0,WD ,122250,88.5,58.5,1.0
64,20,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,5,5,Gable,AsbShng,AsbShng,None,0.0,3,CBlock,3,1,3,1382.0,4,1382,1382,0.0,1,0,3,6,0,Attchd,1,350.0,WD ,153000,54.58333333333326,54.58333333333326,1.0
65,20,RL,Reg,Inside,Mitchel,Feedr,1Fam,1Story,5,5,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,1,5,1120.0,5,1120,1120,0.0,1,0,3,6,0,0,0,0.0,New,147000,1.0,1.0,1.0
66,70,RL,Reg,Inside,Crawfor,Norm,1Fam,2Story,7,8,Gable,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,4,1,6,531.0,3,567,1098,1.0,1,0,2,5,1,Detchd,1,216.0,WD ,148500,77.5,12.5,0.0
67,160,RM,Reg,Inside,Edwards,Norm,TwnhsE,2Story,7,5,Gable,VinylSd,VinylSd,Stone,117.0,3,PConc,4,1,1,976.0,5,976,1708,0.0,2,0,3,7,0,Detchd,1,380.0,WD ,130000,2.3333333333332575,2.3333333333332575,1.0
68,20,RL,IR1,Corner,NridgHt,Norm,1Fam,1Story,9,5,Hip,MetalSd,MetalSd,Stone,510.0,3,PConc,5,4,1,1802.0,5,1802,1802,0.0,2,1,3,7,1,Attchd,3,843.0,WD ,372000,1.5,1.5,1.0
69,120,RL,Reg,Inside,Blmngtn,Norm,TwnhsE,1Story,7,5,Gable,VinylSd,VinylSd,BrkFace,145.0,3,PConc,4,4,6,1362.0,5,1506,1506,0.0,2,0,2,6,1,Attchd,3,440.0,WD ,213490,1.3333333333332575,1.3333333333332575,1.0
70,20,RL,IR2,Inside,Edwards,Norm,1Fam,1Story,7,5,Gable,VinylSd,VinylSd,Stone,96.0,3,PConc,4,4,6,1508.0,5,1508,1508,1.0,1,0,1,5,2,Attchd,2,572.0,Con,308030,1.0833333333332575,0.08333333333325754,0.0
71,20,RL,IR2,Inside,Mitchel,Norm,1Fam,1Story,7,5,Gable,MetalSd,MetalSd,BrkFace,668.0,3,PConc,5,2,6,1840.0,5,2032,2032,1.0,3,0,3,7,0,Attchd,3,786.0,WD ,300000,12.75,11.75,1.0
72,20,RL,Reg,Corner,NAmes,Norm,1Fam,1Story,6,6,Hip,BrkFace,BrkFace,None,0.0,3,CBlock,3,2,5,655.0,5,1194,1194,0.0,1,0,3,6,1,BuiltIn,3,539.0,WD ,159500,47.58333333333326,47.58333333333326,1.0
73,160,RM,Reg,Inside,Edwards,Norm,Twnhs,2Story,7,5,Gable,VinylSd,VinylSd,Stone,50.0,3,PConc,4,1,1,970.0,5,970,1709,0.0,2,0,3,7,0,Detchd,1,380.0,WD ,137500,2.3333333333332575,2.3333333333332575,1.0
74,20,RL,Reg,Inside,Somerst,Norm,1Fam,1Story,7,5,Gable,VinylSd,VinylSd,BrkFace,228.0,3,PConc,4,3,1,1616.0,5,1616,1616,0.0,2,0,3,7,0,Attchd,2,834.0,WD ,232000,1.3333333333332575,1.3333333333332575,1.0
75,30,RM,IR1,Inside,IDOTRR,RRNe,1Fam,1Story,6,6,Gable,Stucco,Wd Shng,None,0.0,4,BrkTil,3,1,1,768.0,3,768,768,0.0,1,0,1,4,0,Detchd,1,440.0,WD ,93850,78.58333333333326,58.58333333333326,1.0
76,30,RL,Reg,Inside,Sawyer,Norm,1Fam,1Story,5,5,Gable,BrkFace,Wd Sdng,Stone,65.0,3,BrkTil,3,1,1,872.0,2,872,872,0.0,1,0,2,5,1,Detchd,1,322.0,WD ,105000,82.33333333333326,56.33333333333326,1.0
77,30,RM,IR1,Inside,BrkSide,Feedr,1Fam,1Story,4,6,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,1,1,520.0,2,520,520,0.0,1,0,1,4,0,Detchd,1,240.0,WD ,68500,81.41666666666674,58.41666666666674,1.0
78,90,RL,Reg,Corner,NAmes,Feedr,Duplex,2Story,5,5,Gable,MetalSd,MetalSd,BrkFace,361.0,3,CBlock,3,1,3,1105.0,3,1105,2274,0.0,2,0,5,12,0,Detchd,1,480.0,WD ,154300,50.08333333333326,50.08333333333326,0.0
79,50,RM,Reg,Inside,IDOTRR,Artery,1Fam,1.5Fin,5,7,Gable,VinylSd,VinylSd,None,0.0,4,BrkTil,3,1,1,936.0,5,936,1601,0.0,2,0,3,6,0,0,0,0.0,WD ,129850,82.75,4.75,1.0
80,70,RM,Reg,Inside,OldTown,Norm,1Fam,2Story,5,7,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,1,4,616.0,5,616,1232,0.0,1,0,3,6,0,Detchd,1,480.0,WD ,114000,97.5,57.5,1.0
81,20,RL,IR1,CulDSac,StoneBr,Norm,1Fam,1Story,9,5,Hip,VinylSd,VinylSd,Stone,748.0,3,PConc,5,1,6,2216.0,5,2234,2234,1.0,2,0,1,9,1,Attchd,3,1166.0,New,501837,1.5833333333332575,0.5833333333332575,1.0
82,50,RM,IR1,Inside,OldTown,Artery,1Fam,1.5Fin,5,8,Gable,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,2,1,876.0,4,876,1416,0.0,1,1,4,7,1,Detchd,1,720.0,WD ,153900,93.5,58.5,1.0
83,20,RL,Reg,FR2,NAmes,Norm,1Fam,1Story,4,7,Gable,VinylSd,VinylSd,None,0.0,4,CBlock,3,1,5,864.0,4,864,864,0.0,1,0,3,5,0,Detchd,1,576.0,WD ,130000,38.58333333333326,3.5833333333332575,1.0
84,120,RM,Reg,FR2,Mitchel,Norm,TwnhsE,1Story,6,5,Hip,VinylSd,VinylSd,BrkFace,197.0,3,PConc,5,1,6,1189.0,5,1189,1189,1.0,2,0,2,4,0,Attchd,2,392.0,WD ,160500,11.333333333333258,11.333333333333258,1.0
85,120,RL,Reg,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,Hip,MetalSd,MetalSd,BrkFace,572.0,3,PConc,5,1,6,1666.0,5,1666,1666,1.0,2,0,2,6,1,Attchd,2,575.0,New,310090,0.5,0.5,1.0
86,20,RL,Reg,Inside,SawyerW,Norm,1Fam,1Story,7,5,Gable,VinylSd,VinylSd,0,0.0,3,PConc,4,1,6,1176.0,5,1200,1200,1.0,2,0,2,5,0,Attchd,2,555.0,WD ,184900,6.6666666666667425,6.6666666666667425,1.0
87,20,RL,Reg,Inside,NAmes,Norm,1Fam,1Story,5,7,Hip,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,4,1,3,928.0,3,928,928,0.0,1,0,2,4,0,Attchd,1,252.0,WD ,132000,51.5,7.5,1.0
88,20,RL,Reg,Inside,NWAmes,Feedr,1Fam,1Story,5,5,Gable,HdBoard,HdBoard,BrkFace,128.0,3,CBlock,4,2,5,1288.0,3,1336,1336,0.0,2,0,3,6,1,Attchd,2,502.0,WD ,163000,40.66666666666674,40.66666666666674,1.0
89,160,FV,Reg,Inside,Somerst,Norm,TwnhsE,2Story,7,5,Gable,MetalSd,MetalSd,BrkFace,120.0,3,PConc,4,3,6,600.0,5,600,1200,0.0,2,1,2,4,0,Detchd,2,480.0,ConLD,155000,6.3333333333332575,6.3333333333332575,1.0
90,80,RL,IR1,Inside,NWAmes,Norm,1Fam,SLvl,6,6,Gable,MetalSd,MetalSd,None,0.0,3,CBlock,3,3,6,1427.0,4,1427,1427,0.0,2,0,4,7,0,Attchd,2,516.0,WD ,183000,39.41666666666674,39.41666666666674,1.0
91,60,RL,IR3,Corner,CollgCr,Norm,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,BrkFace,254.0,3,PConc,4,2,6,860.0,5,1212,1992,1.0,2,1,3,7,2,Attchd,2,608.0,WD ,211000,11.5,5.5,1.0
92,60,RL,Reg,Inside,SawyerW,RRAe,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,None,0.0,3,PConc,4,1,2,754.0,5,754,1540,1.0,2,1,3,6,0,Attchd,2,495.0,WD ,184000,15.833333333333258,15.833333333333258,1.0
93,90,RL,Reg,Inside,SawyerW,Norm,Duplex,1Story,5,5,Gable,HdBoard,HdBoard,None,0.0,3,Slab,0,0,0,0.0,3,1535,1535,0.0,2,0,4,8,0,Attchd,1,400.0,WD ,118858,30.5,30.5,0.0
94,80,RL,IR1,Corner,NAmes,Norm,1Fam,SLvl,5,7,Hip,Wd Sdng,HdBoard,BrkFace,86.0,3,PConc,3,3,6,1152.0,3,1152,1152,1.0,1,0,3,6,1,Attchd,2,484.0,WD ,180500,46.33333333333326,46.33333333333326,1.0
95,120,FV,IR1,Inside,Somerst,Norm,TwnhsE,1Story,8,5,Gable,VinylSd,VinylSd,Stone,30.0,3,PConc,4,1,6,1141.0,5,1151,1151,1.0,2,0,2,5,0,Attchd,3,484.0,New,166000,1.1666666666667425,0.16666666666674246,1.0
96,80,RL,Reg,Inside,Sawyer,Norm,1Fam,SLvl,6,5,Hip,Wd Sdng,Wd Sdng,BrkFace,54.0,3,CBlock,3,3,4,1138.0,5,1138,1138,0.0,1,0,3,6,1,Attchd,2,480.0,COD,148000,49.25,49.25,1.0
97,20,RL,IR1,Inside,NAmes,Norm,1Fam,1Story,5,5,Hip,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,3,894.0,4,1074,1074,0.0,1,0,2,6,1,Detchd,1,396.0,WD ,124000,51.08333333333326,51.08333333333326,1.0
98,120,RL,Reg,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,Hip,MetalSd,MetalSd,BrkFace,246.0,3,PConc,5,1,6,1561.0,5,1561,1561,1.0,2,0,2,6,1,Attchd,3,556.0,WD ,277500,2.6666666666667425,2.6666666666667425,1.0
